length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
TestOptimizedSizeOfWitnesses - starting
fan-out:  16 , certificates:  9000000 . Witness/membershipProof size in bytes:  1135
fan-out:  32 , certificates:  9000000 . Witness/membershipProof size in bytes:  953
fan-out:  64 , certificates:  9000000 . Witness/membershipProof size in bytes:  770
fan-out:  128 , certificates:  9000000 . Witness/membershipProof size in bytes:  770
fan-out:  256 , certificates:  9000000 . Witness/membershipProof size in bytes:  588
fan-out:  512 , certificates:  9000000 . Witness/membershipProof size in bytes:  588
fan-out:  1024 , certificates:  9000000 . Witness/membershipProof size in bytes:  588
fan-out:  2 , certificates:  10000000 . Witness/membershipProof size in bytes:  4429
fan-out:  4 , certificates:  10000000 . Witness/membershipProof size in bytes:  2233
fan-out:  8 , certificates:  10000000 . Witness/membershipProof size in bytes:  1501
fan-out:  16 , certificates:  10000000 . Witness/membershipProof size in bytes:  1135
fan-out:  32 , certificates:  10000000 . Witness/membershipProof size in bytes:  952
fan-out:  64 , certificates:  10000000 . Witness/membershipProof size in bytes:  769
fan-out:  128 , certificates:  10000000 . Witness/membershipProof size in bytes:  769
fan-out:  256 , certificates:  10000000 . Witness/membershipProof size in bytes:  588
fan-out:  512 , certificates:  10000000 . Witness/membershipProof size in bytes:  588
fan-out:  1024 , certificates:  10000000 . Witness/membershipProof size in bytes:  588
PASS
ok  	example/merkleTree/verkleTree	5299.988s
