length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedCreateMemProofOverTime - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_330-32       	      10	 130677836 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_340-32       	      10	 130268090 ns/op	240284149 B/op	    1006 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_350-32       	      10	 130409771 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_360-32       	      10	 129724840 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_370-32       	      10	 130370608 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_380-32       	      10	 128271902 ns/op	240282204 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_390-32       	      10	 128260121 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_400-32       	      10	 129724111 ns/op	240284149 B/op	    1006 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_410-32       	      10	 130725738 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_420-32       	      10	 128356471 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_430-32       	      10	 128910514 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_440-32       	      10	 127509506 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_450-32       	      10	 128503466 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_460-32       	      10	 129350406 ns/op	240282204 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_470-32       	      10	 128929111 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_480-32       	      10	 126642433 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_490-32       	      10	 127622784 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_500-32       	      10	 127165856 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_510-32       	      10	 128041801 ns/op	240282204 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_520-32       	      10	 126459975 ns/op	240278312 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_530-32       	      10	 132594706 ns/op	240286913 B/op	    1068 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_540-32       	      10	 126840539 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_550-32       	      10	 134820072 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_560-32       	      10	 128859331 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_570-32       	      10	 130607925 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_580-32       	      10	 128868872 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_590-32       	      10	 129327701 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_600-32       	      10	 125478619 ns/op	240278312 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_610-32       	      10	 131009925 ns/op	240286095 B/op	    1045 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_620-32       	      10	 128582725 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_630-32       	      10	 127691366 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_640-32       	      10	 129855947 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_650-32       	      10	 128501466 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_660-32       	      10	 127043258 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_670-32       	      10	 127241783 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_680-32       	      10	 125397124 ns/op	240278312 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_690-32       	      10	 126864900 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_700-32       	      10	 125543793 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_710-32       	      10	 126892074 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_720-32       	      10	 130650690 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_730-32       	      10	 127921250 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_740-32       	      10	 127246844 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_750-32       	      10	 128680113 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_760-32       	      10	 125290151 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_770-32       	      10	 125164936 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_780-32       	      10	 128463895 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_790-32       	      10	 125928684 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_800-32       	      10	 126959254 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_810-32       	      10	 129887668 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_820-32       	      10	 129000404 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_830-32       	      10	 131804780 ns/op	240286105 B/op	    1045 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_840-32       	      10	 127011420 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_850-32       	      10	 127688639 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_860-32       	      10	 128446882 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_870-32       	      10	 126791351 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_880-32       	      10	 130792147 ns/op	240284149 B/op	    1006 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_890-32       	      10	 127020630 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_900-32       	      10	 127079620 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_910-32       	      10	 127862650 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_920-32       	      10	 125613600 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_930-32       	      10	 125110433 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_940-32       	      10	 129459628 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_950-32       	      10	 126775661 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_960-32       	      10	 124298860 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_970-32       	      10	 129312247 ns/op	240282204 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_980-32       	      10	 127199450 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_990-32       	      10	 127745238 ns/op	240280258 B/op	     930 allocs/op
