length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedVerifyMembershipProof - starting
Time spent after witness 1 11.2µs
Time spent after witness 2 19.89µs
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedVerifyMembershipProof/fan-out:_4,_certs:_5000000-32         	    1000	  48624693 ns/op	   15936 B/op	      48 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_8,_certs:_5000000-32         	    1000	  32418835 ns/op	   10624 B/op	      32 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_16,_certs:_5000000-32        	    1000	  24314006 ns/op	    7968 B/op	      24 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_32,_certs:_5000000-32        	    1000	  20258876 ns/op	    6640 B/op	      20 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_64,_certs:_5000000-32        	    1000	  16207848 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_128,_certs:_5000000-32       	    1000	  16208173 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_256,_certs:_5000000-32       	    1000	  12157613 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_512,_certs:_5000000-32       	    1000	  12157621 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_1024,_certs:_5000000-32      	    1000	  12152659 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_2,_certs:_6000000-32         	    1000	  93181084 ns/op	   30544 B/op	      92 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_4,_certs:_6000000-32         	    1000	  48613721 ns/op	   15936 B/op	      48 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_8,_certs:_6000000-32         	    1000	  32418207 ns/op	   10624 B/op	      32 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_16,_certs:_6000000-32        	    1000	  24309456 ns/op	    7968 B/op	      24 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_32,_certs:_6000000-32        	    1000	  20258430 ns/op	    6640 B/op	      20 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_64,_certs:_6000000-32        	    1000	  16209074 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_128,_certs:_6000000-32       	    1000	  16207518 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_256,_certs:_6000000-32       	    1000	  12163388 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_512,_certs:_6000000-32       	    1000	  12156010 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_1024,_certs:_6000000-32      	    1000	  12156745 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_2,_certs:_7000000-32         	    1000	  93203624 ns/op	   30544 B/op	      92 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_4,_certs:_7000000-32         	    1000	  48624396 ns/op	   15936 B/op	      48 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_8,_certs:_7000000-32         	    1000	  32406628 ns/op	   10624 B/op	      32 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_16,_certs:_7000000-32        	    1000	  24307823 ns/op	    7968 B/op	      24 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_32,_certs:_7000000-32        	    1000	  20256341 ns/op	    6640 B/op	      20 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_64,_certs:_7000000-32        	    1000	  16203002 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_128,_certs:_7000000-32       	    1000	  16208800 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_256,_certs:_7000000-32       	    1000	  12156360 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_512,_certs:_7000000-32       	    1000	  12152184 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_1024,_certs:_7000000-32      	    1000	  12184006 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_2,_certs:_8000000-32         	    1000	  93215748 ns/op	   30544 B/op	      92 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_4,_certs:_8000000-32         	    1000	  48621516 ns/op	   15936 B/op	      48 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_8,_certs:_8000000-32         	    1000	  32410272 ns/op	   10624 B/op	      32 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_16,_certs:_8000000-32        	    1000	  24311245 ns/op	    7968 B/op	      24 allocs/op
