length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  100000  capacity of file Array:  124928
degreeComb  51.09µs
divcalc  1.191964ms
lagrangecalc  297.101µs
BenchmarkOptimizedCreateMemProofOverTime - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_330-32       	      10	 162397661 ns/op	240556228 B/op	    1846 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_340-32       	      10	 153969001 ns/op	240544555 B/op	    1615 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_350-32       	      10	 159589596 ns/op	240552337 B/op	    1769 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_360-32       	      10	 159224771 ns/op	240551920 B/op	    1763 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_370-32       	      10	 158969583 ns/op	240551920 B/op	    1763 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_380-32       	      10	 156291169 ns/op	240548446 B/op	    1692 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_390-32       	      10	 161538204 ns/op	240555393 B/op	    1834 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_400-32       	      10	 156981022 ns/op	240548446 B/op	    1692 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_410-32       	      10	 156172896 ns/op	240548864 B/op	    1698 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_420-32       	      10	 157105415 ns/op	240548446 B/op	    1692 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_430-32       	      10	 157230473 ns/op	240548028 B/op	    1686 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_440-32       	      10	 153676536 ns/op	240544555 B/op	    1615 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_450-32       	      10	 150606868 ns/op	240540664 B/op	    1538 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_460-32       	      10	 147765570 ns/op	240537190 B/op	    1467 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_470-32       	      10	 164726959 ns/op	240552337 B/op	    1769 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_480-32       	      10	 150424489 ns/op	240541081 B/op	    1544 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_490-32       	      10	 156116332 ns/op	240548864 B/op	    1698 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_500-32       	      10	 159001445 ns/op	240552755 B/op	    1775 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_510-32       	      10	 148310982 ns/op	240537180 B/op	    1467 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_520-32       	      10	 160206404 ns/op	240552337 B/op	    1769 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_530-32       	      10	 147548663 ns/op	240537190 B/op	    1467 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_540-32       	      10	 153602608 ns/op	240544972 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_550-32       	      10	 146064326 ns/op	240532871 B/op	    1385 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_560-32       	      10	 153619815 ns/op	240544555 B/op	    1615 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_570-32       	      10	 151506412 ns/op	240540664 B/op	    1538 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_580-32       	      10	 159231027 ns/op	240552755 B/op	    1775 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_590-32       	      10	 153253361 ns/op	240544972 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_600-32       	      10	 153970616 ns/op	240544962 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_610-32       	      10	 159219201 ns/op	240552337 B/op	    1769 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_620-32       	      10	 148433576 ns/op	240537190 B/op	    1467 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_630-32       	      10	 150707752 ns/op	240540664 B/op	    1538 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_640-32       	      10	 153767468 ns/op	240544972 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_650-32       	      10	 150740941 ns/op	240540664 B/op	    1538 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_660-32       	      10	 148912228 ns/op	240536772 B/op	    1462 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_670-32       	      10	 148506910 ns/op	240536772 B/op	    1462 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_680-32       	      10	 154210043 ns/op	240544972 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_690-32       	      10	 158713588 ns/op	240551920 B/op	    1763 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_700-32       	      10	 151124121 ns/op	240541081 B/op	    1544 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_710-32       	      10	 153993846 ns/op	240544972 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_720-32       	      10	 151067382 ns/op	240539458 B/op	    1522 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_730-32       	      10	 148580960 ns/op	240537190 B/op	    1467 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_740-32       	      10	 153950081 ns/op	240544972 B/op	    1621 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_750-32       	      10	 156047543 ns/op	240548436 B/op	    1692 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_760-32       	      10	 147620615 ns/op	240537190 B/op	    1467 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_770-32       	      10	 156104063 ns/op	240548853 B/op	    1698 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_780-32       	      10	 153791184 ns/op	240544555 B/op	    1615 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_790-32       	      10	 154196967 ns/op	240544555 B/op	    1615 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_800-32       	      10	 159524324 ns/op	240552327 B/op	    1769 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_810-32       	      10	 150554053 ns/op	240540664 B/op	    1538 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_820-32       	      10	 150337539 ns/op	240541081 B/op	    1544 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_830-32       	      10	 150505327 ns/op	240541081 B/op	    1544 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_840-32       	      10	 151588474 ns/op	240540664 B/op	    1538 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_128,_certs:_10000000,_iteration:_0,_testAmount:_850-32       	      10	 153138943 ns/op	240544972 B/op	    1621 allocs/op
